0,1
,-0.22314531557378683
e,-0.020724125523124793
t,-0.0149942892403337
a,-0.013115654393516949
n,-0.012924469529122727
s,-0.012176336970108573
r,-0.011056113968858583
o,-0.011018248609401466
c,-0.006825706610100863
l,-0.005956209509844119
h,-0.00566800582388392
d,-0.005549768414259223
m,-0.004197867703059062
in,-0.004026040354989141
f,-0.003966055529367041
p,-0.0037990171346738745
u,-0.0037955381812538433
g,-0.0028875313386257473
re,-0.00231698297774066
at,-0.0022900089311025003
on,-0.002212669183385811
w,-0.002124782790587776
or,-0.00210476167550484
he,-0.0020100359636198517
b,-0.001987866449315221
en,-0.0019287477445028725
an,-0.0018960296139169063
the,-0.0018844087158936108
v,-0.0016181435850461654
y,-0.0015612759191180254
is,-0.0014402867158928427
al,-0.0013958427091452547
nt,-0.0013906729213336055
nd,-0.0013648239822753598
ng,-0.0012663390448912916
st,-0.0012280705572709505
of,-0.0011520615038597324
io,-0.0011373533185628
ar,-0.0011166741673162037
ed,-0.0011158655533330794
as,-0.0010814911207749096
ic,-0.0009615805329667309
nc,-0.0009385094388960337
ve,-0.0009163399245914029
ns,-0.00090988265485024
2,-0.0008627804481676932
it,-0.0008350517054744237
et,-0.0007956810692813771
1,-0.000767452916047448
k,-0.0007186005058192235
